舟橋蒔絵硯箱,364
海磯鏡,4036
竜首水瓶,459
銅鐸,4241
埴輪　挂甲武人,3948
金銅製冠帽,115
銀象嵌銘大刀,135
金銅製沓,85
鵲尾形柄香炉,69
